id:tt8420184, rank:16, title:The Last Dance, fullTitle:The Last Dance (2020), year:2020, image:https://m.media-amazon.com/images/M/MV5BY2U1ZTU4OWItNGU2MC00MTg1LTk4NzUtYTk3ODhjYjI0MzlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Michael Jordan, Phil Jackson, imDbRating:9.1, imDbRatingCount:107087 
id:tt1355642, rank:17, title:Fullmetal Alchemist: Brotherhood, fullTitle:Fullmetal Alchemist: Brotherhood (2009), year:2009, image:https://m.media-amazon.com/images/M/MV5BZmEzN2YzOTItMDI5MS00MGU4LWI1NWQtOTg5ZThhNGQwYTEzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg, crew:Matthew Leonhart, Kent Williams, imDbRating:9.0, imDbRatingCount:152320 
id:tt1475582, rank:18, title:Sherlock, fullTitle:Sherlock (2010), year:2010, image:https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Benedict Cumberbatch, Martin Freeman, imDbRating:9.0, imDbRatingCount:881041 
id:tt1533395, rank:19, title:Life, fullTitle:Life (2009), year:2009, image:https://m.media-amazon.com/images/M/MV5BNjJhMTAxZjYtNWZkYy00Nzg1LTlkYjItZTNhZWRjNzkxMDg3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,1,128,176_AL_.jpg, crew:Oprah Winfrey, David Attenborough, imDbRating:9.0, imDbRatingCount:40204 
id:tt0052520, rank:20, title:The Twilight Zone, fullTitle:The Twilight Zone (1959), year:1959, image:https://m.media-amazon.com/images/M/MV5BNTAzMDI5MzgtMGNkMC00MzllLWJhNjctNjA1NmViNGUxMzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Rod Serling, Robert McCord, imDbRating:9.0, imDbRatingCount:79639 
id:tt1877514, rank:21, title:The Vietnam War, fullTitle:The Vietnam War (2017), year:2017, image:https://m.media-amazon.com/images/M/MV5BYWQ4ZGFhYmUtNDVhNC00N2VkLWIzYTQtOTk5ZTI1NWU2YjNlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY176_CR0,0,128,176_AL_.jpg, crew:Peter Coyote, Huy Duc, imDbRating:9.0, imDbRatingCount:23491 
id:tt12392504, rank:22, title:Scam 1992: The Harshad Mehta Story, fullTitle:Scam 1992: The Harshad Mehta Story (2020), year:2020, image:https://m.media-amazon.com/images/M/MV5BNjgxZTMxNmQtZGFkZS00NDUyLTllMzYtOTE0ZjdlMjM1ZWU0XkEyXkFqcGdeQXVyMTAyMTE1MDA1._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Pratik Gandhi, Shreya Dhanwanthary, imDbRating:9.0, imDbRatingCount:136975 
id:tt11126994, rank:23, title:Arcane, fullTitle:Arcane (2021), year:2021, image:https://m.media-amazon.com/images/M/MV5BYmU5OWM5ZTAtNjUzOC00NmUyLTgyOWMtMjlkNjdlMDAzMzU1XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Hailee Steinfeld, Kevin Alejandro, imDbRating:9.0, imDbRatingCount:160545 
id:tt0103359, rank:24, title:Batman: The Animated Series, fullTitle:Batman: The Animated Series (1992), year:1992, image:https://m.media-amazon.com/images/M/MV5BOTM3MTRkZjQtYjBkMy00YWE1LTkxOTQtNDQyNGY0YjYzNzAzXkEyXkFqcGdeQXVyOTgwMzk1MTA@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Kevin Conroy, Loren Lester, imDbRating:9.0, imDbRatingCount:97640 
id:tt2560140, rank:25, title:Attack on Titan, fullTitle:Attack on Titan (2013), year:2013, image:https://m.media-amazon.com/images/M/MV5BNzc5MTczNDQtNDFjNi00ZDU5LWFkNzItOTE1NzQzMzdhNzMxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_UX128_CR0,3,128,176_AL_.jpg, crew:Yûki Kaji, Marina Inoue, imDbRating:8.9, imDbRatingCount:327881 
